Movie_Title,Storyline_Raw,Storyline_Processed
The Fall Guy,"A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.",stuntman fresh almost career ending accident track missing movie star solve conspiracy try win back love life still day job
The Substance,"A fading celebrity takes a black-market drug: a cell-replicating substance that helps her create a younger, better version of herself.",fading celebrity takes black market drug cell replicating substance helps create younger better version
The Life of Chuck,"A life-affirming, genre-bending story about three chapters in the life of an ordinary man named Charles Krantz.",life affirming genre bending story three chapters life ordinary man named charles krantz
Abigail,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl.",group criminals kidnap ballerina daughter powerful underworld figure retreat isolated mansion unaware locked inside normal little girl
The Ministry of Ungentlemanly Warfare,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.,british military recruits small group highly skilled soldiers strike german forces behind enemy lines world war ii
Relay,A broker of lucrative payoffs between corrupt corporations and the individuals who threaten them breaks his own rules when a new client seeks his protection to stay alive.,broker lucrative payoffs corrupt corporations individuals threaten breaks rules new client seeks protection stay alive
Dune: Part Two,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",paul atreides unites fremen warpath revenge conspirators destroyed family facing choice love life fate universe endeavors prevent terrible future
Anora,"A young stripper from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to get the marriage annulled.",young stripper brooklyn meets impulsively marries son russian oligarch news reaches russia fairy tale threatened parents set new york get marriage annulled
Jab Khuli Kitaab,"Gopal and Anusuya's decades-long marriage faces upheaval when a revelation surfaces. As secrets emerge, the family navigates emotions both touching and comedic, exploring love, companionship, forgiveness, and rediscovering one another.",gopal anusuya decades long marriage faces upheaval revelation surfaces secrets emerge family navigates emotions touching comedic exploring love companionship forgiveness rediscovering one another
I'm Still Here,A woman married to a former politician during the military dictatorship in Brazil is forced to reinvent herself and chart a new course for her family after a violent and arbitrary act.,woman married former politician military dictatorship brazil forced reinvent chart new course family violent arbitrary act
Eden,"Based on a factual account of a group of outsiders who settle on a remote island only to discover their greatest threat isn't the brutal climate or deadly wildlife, but each other.",based factual account group outsiders settle remote island discover greatest threat brutal climate deadly wildlife
Ghostbusters: Frozen Empire,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age.",discovery ancient artifact unleashes evil force ghostbusters new old must join forces protect home save world second ice age
Blink Twice,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her reality.",tech billionaire slater king meets cocktail waitress frida fundraising gala invites join friends dream vacation private island strange things start happen frida questions reality
Deadpool & Wolverine,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction.",deadpool offered place marvel cinematic universe time variance authority instead recruits variant wolverine save universe extinction
We Bury the Dead,"After a catastrophic military disaster, the dead don't just rise - they hunt. Ava searches for her missing husband, but what she finds is far more terrifying.",catastrophic military disaster dead rise hunt ava searches missing husband finds far terrifying
Babygirl,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.,high powered ceo puts career family line begins torrid affair much younger intern
Nosferatu,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",gothic tale obsession haunted young woman terrifying vampire infatuated causing untold horror wake
The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",shipwreck intelligent robot called roz stranded uninhabited island survive harsh environment roz bonds island animals cares orphaned baby goose
Kinds of Kindness,"A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning, and a woman searches for an extraordinary individual prophesied to become a renowned spiritual guide.",man seeks break free predetermined path cop questions wife demeanor return supposed drowning woman searches extraordinary individual prophesied become renowned spiritual guide
Wicked,"Elphaba, a young woman ridiculed for her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a crossroads.",elphaba young woman ridiculed green skin galinda popular girl become friends shiz university land oz encounter wonderful wizard oz friendship reaches crossroads
Bone Lake,"A couple's vacation at a secluded estate is upended when they're forced to share the mansion with a mysterious couple. A dream getaway spirals into a nightmarish maze of sex, lies, and manipulation, triggering a battle for survival.",couple vacation secluded estate upended forced share mansion mysterious couple dream getaway spirals nightmarish maze sex lies manipulation triggering battle survival
Heretic,Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.,two young religious women drawn game cat mouse house strange man
The Brutalist,A visionary architect flees post-war Europe in 1947 for a brighter future in the United States and finds his life forever changed by a wealthy client.,visionary architect flees post war europe brighter future united states finds life forever changed wealthy client
Longlegs,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.",pursuit serial killer fbi agent uncovers series occult clues must solve end terrifying killing spree
Civil War,"In a dystopian future, four journalists travel across the United States during a nation-wide conflict. While trying to survive, they aim to reach the White House to interview the president before he is overthrown.",dystopian future four journalists travel across united states nation wide conflict trying survive aim reach white house interview president overthrown
Gladiator II,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.",home conquered tyrannical emperors lead rome lucius forced enter colosseum must look past find strength return glory rome people
Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe.",scavenging deep ends derelict space station group young space colonists come face face terrifying life form universe
A Complete Unknown,"In 1961, an unknown 19-year-old Bob Dylan arrives in New York City with his guitar and forges relationships with musical icons on his meteoric rise, culminating in a groundbreaking performance that reverberates around the world.",unknown year old bob dylan arrives new york city guitar forges relationships musical icons meteoric rise culminating groundbreaking performance reverberates around world
Smile 2,"About to embark on a world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her past.",embark world tour global pop sensation skye riley begins experiencing increasingly terrifying inexplicable events overwhelmed escalating horrors pressures fame skye forced face past
Furiosa: A Mad Max Saga,"After being snatched from the Green Place of Many Mothers, while the tyrants Dementus and Immortan Joe fight for power and control, the young Furiosa must survive many trials as she puts together the means to find her way home.",snatched green place many mothers tyrants dementus immortan joe fight power control young furiosa must survive many trials puts together means find way home
Speak No Evil,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them.",family invited spend whole weekend lonely home countryside weekend progresses realize dark side lies within family invited
Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",family tragedy three generations deetz family return home winter river still haunted beetlejuice lydia life turned upside teenage daughter astrid accidentally opens portal afterlife
Challengers,"Tashi, a former tennis prodigy turned coach, transformed her husband into a champion. But to overcome a recent losing streak and redeem himself, he'll need to face off against his former best friend and Tashi's ex-boyfriend.",tashi former tennis prodigy turned coach transformed husband champion overcome recent losing streak redeem need face former best friend tashi ex boyfriend
Twisters,"Kate Carter, a retired tornado-chaser and meteorologist, is persuaded to return to Oklahoma to work with a new team and new technologies.",kate carter retired tornado chaser meteorologist persuaded return oklahoma work new team new technologies
The Beekeeper,A former operative of a powerful organization embarks on a brutal campaign for vengeance.,former operative powerful organization embarks brutal campaign vengeance
Conclave,"When Cardinal Lawrence is tasked with leading the selection of a new Pope, he finds himself in a web of conspiracy and intrigue that could shake the very foundations of the Catholic Church.",cardinal lawrence tasked leading selection new pope finds web conspiracy intrigue could shake foundations catholic church
Ordinary Angels,Inspired by the incredible true story of a hairdresser who single-handedly rallies an entire community to help a widowed father save the life of his critically ill young daughter.,inspired incredible true story hairdresser single handedly rallies entire community help widowed father save life critically ill young daughter
Shell,"Desperate to reclaim her career, once-beloved actress Samantha Lake is drawn into the glamorous world of wellness mogul Zoe Shannon -only to uncover a monstrous truth beneath its flawless surface.",desperate reclaim career beloved actress samantha lake drawn glamorous world wellness mogul zoe shannon uncover monstrous truth beneath flawless surface
It Ends with Us,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",woman first love suddenly reenters life relationship charming abusive neurosurgeon upended realizes must learn rely strength make impossible choice future
Sleeping Dogs,"An ex-homicide detective with memory loss is forced to solve a brutal murder, only to uncover chilling secrets from his forgotten past.",ex homicide detective memory loss forced solve brutal murder uncover chilling secrets forgotten past
He's Watching You,A teenager investigating mysterious murders in his small town discovers a collection of VHS tapes that could reveal the identity of a notorious serial killer.,teenager investigating mysterious murders small town discovers collection vhs tapes could reveal identity notorious serial killer
The Strangers: Chapter 1,"After their car breaks down in an eerie small town, a young couple is forced to spend the night in a remote cabin. Panic ensues as they are terrorized by three masked strangers who strike with no mercy and seemingly no motive.",car breaks eerie small town young couple forced spend night remote cabin panic ensues terrorized three masked strangers strike mercy seemingly motive
Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team Sonic must seek out an unlikely alliance.",sonic knuckles tails reunite powerful new adversary shadow mysterious villain powers unlike anything faced abilities outmatched team sonic must seek unlikely alliance
The Count of Monte-Cristo,"After escaping from an island prison where he spent 14 years for being wrongly accused of state treason, Edmond Dantès returns as the count of Monte Cristo to exact revenge on the men who betrayed him.",escaping island prison spent years wrongly accused state treason edmond dant returns count monte cristo exact revenge men betrayed
Kingdom of the Planet of the Apes,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike.",many years reign caesar young ape goes journey lead question everything taught past make choices define future apes humans alike
Trap,A father and his teen daughter attend a pop concert only to realize they've entered the center of a dark and sinister event.,father teen daughter attend pop concert realize entered center dark sinister event
I Was a Stranger,"Five strangers are pulled together, colliding on a single night where survival is uncertain.",five strangers pulled together colliding single night survival uncertain
Big World,"Liu Chunhe, a young man with cerebral palsy, overcomes physical and mental barriers while fulfilling his grandmother's dream and discovering his life's purpose, leading to transformation and a fresh start.",liu chunhe young man cerebral palsy overcomes physical mental barriers fulfilling grandmother dream discovering life purpose leading transformation fresh start
IF,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.,young girl goes difficult experience begins see everyone imaginary friends left behind real life friends grown
MaXXXine,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.",hollywood adult film star aspiring actress maxine minx finally gets big break mysterious killer stalks starlets hollywood trail blood threatens reveal sinister past
Wolfs,"Two rival fixers cross paths when they're both called in to help cover up a prominent New York official's misstep. Over one explosive night, they'll have to set aside their petty grievances and their egos to finish the job.",two rival fixers cross paths called help cover prominent new york official misstep one explosive night set aside petty grievances egos finish job
Joker: Folie à Deux,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital.",struggling dual identity failed comedian arthur fleck meets love life harley quinn incarcerated arkham state hospital
Kraven the Hunter,"Kraven's complex relationship with his ruthless father, Nikolai Kravinoff, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",kraven complex relationship ruthless father nikolai kravinoff starts path vengeance brutal consequences motivating become greatest hunter world also one feared
Small Things Like These,In 1985 devoted father Bill Furlong discovers disturbing secrets kept by the local convent and uncovers shocking truths of his own.,devoted father bill furlong discovers disturbing secrets kept local convent uncovers shocking truths
Road House,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems.",ex ufc fighter dalton takes job bouncer florida keys roadhouse discover paradise seems
Bad Boys: Ride or Die,"When their late police captain gets linked to drug cartels, wisecracking Miami cops Mike Lowrey and Marcus Burnett embark on a dangerous mission to clear his name.",late police captain gets linked drug cartels wisecracking miami cops mike lowrey marcus burnett embark dangerous mission clear name
Juror #2,"While serving as a juror in a high-profile murder trial, a family man finds himself struggling with a serious moral dilemma, one he could use to sway the jury verdict and potentially convict or free the wrong killer.",serving juror high profile murder trial family man finds struggling serious moral dilemma one could use sway jury verdict potentially convict free wrong killer
Flow,"Cat is a solitary animal, but as its home is devastated by a great flood, he finds refuge on a boat populated by various species, and will have to team up with them despite their differences.",cat solitary animal home devastated great flood finds refuge boat populated various species team despite differences
The Idea of You,"Solène, a 40-year-old single mom, begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet.",sol ne year old single mom begins unexpected romance year old hayes campbell lead singer august moon hottest boy band planet
The Watchers,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night.",young artist gets stranded extensive immaculate forest western ireland finding shelter becomes trapped alongside three strangers stalked mysterious creatures night
Carry-On,A mysterious traveler blackmails a young TSA agent into letting a dangerous package slip through security and onto a Christmas Eve flight.,mysterious traveler blackmails young tsa agent letting dangerous package slip security onto christmas eve flight
Scared to Death,"Jasper, a young filmmaker, seizes a chance to direct when his crew attends a seance in a haunted children's shelter. Trapped inside, they're haunted by ghostly orphans and a sinister force.",jasper young filmmaker seizes chance direct crew attends seance haunted children shelter trapped inside haunted ghostly orphans sinister force
Despicable Me 4,"Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, and the family is forced to go on the run.",gru lucy margo edith agnes welcome new member family gru jr intent tormenting dad gru faces new nemesis maxime le mal girlfriend valentina family forced go run
Fly Me to the Moon,"Marketing maven Kelly Jones wreaks havoc on NASA launch director Cole Davis's already difficult task. When the White House deems the mission too important to fail, the countdown truly begins.",marketing maven kelly jones wreaks havoc nasa launch director cole davis already difficult task white house deems mission important fail countdown truly begins
Friendship,A suburban dad falls hard for his charismatic new neighbor.,suburban dad falls hard charismatic new neighbor
2073,A woman living in a ruined Earth tries to comprehend how the world was destroyed.,woman living ruined earth tries comprehend world destroyed
We Live in Time,"After an unusual encounter, a talented chef and a recently divorcée fall in love and build the home and family they've always dreamed of, until a painful truth puts their love story to the test.",unusual encounter talented chef recently divorc e fall love build home family always dreamed painful truth puts love story test
The Order,A series of bank robberies and car heists frightens communities in the Pacific Northwest. A lone FBI agent believes that the crimes were not the work of financially motivated criminals but rather a group of dangerous domestic terrorists.,series bank robberies car heists frightens communities pacific northwest lone fbi agent believes crimes work financially motivated criminals rather group dangerous domestic terrorists
Inside Out 2,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.",sequel features riley entering puberty experiencing brand new complex emotions result riley tries adapt teenage years old emotions try adapt possibility replaced
Subservience,"A struggling father purchases a domestic SIM to help care for his family, unaware she will gain self-awareness.",struggling father purchases domestic sim help care family unaware gain self awareness
Rebel Ridge,A former Marine grapples his way through a web of small-town corruption when an attempt to post bail for his cousin escalates into a violent standoff with the local police chief.,former marine grapples way web small town corruption attempt post bail cousin escalates violent standoff local police chief
Tell Me What You Want,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. Eric fears his secret may end their affair.",father death eric zimmerman travels spain oversee company branches madrid falls judith engage intense erotic relationship full exploration eric fears secret may end affair
Borderlands,"An infamous bounty hunter returns to her childhood home, the chaotic planet Pandora, and forms an unlikely alliance with a team of misfits to find the missing daughter of the most powerful man in the universe.",infamous bounty hunter returns childhood home chaotic planet pandora forms unlikely alliance team misfits find missing daughter powerful man universe
Damsel,"A dutiful damsel agrees to marry a handsome prince, only to find the royal family has recruited her as a sacrifice to repay an ancient debt.",dutiful damsel agrees marry handsome prince find royal family recruited sacrifice repay ancient debt
Caddo Lake,"When an 8-year-old girl disappears on Caddo Lake, a series of past deaths and disappearances begin to link together, altering a broken family's history.",year old girl disappears caddo lake series past deaths disappearances begin link together altering broken family history
Hunting Matthew Nichols,"Two decades after her brother mysteriously disappeared on Vancouver Island, a documentary filmmaker sets out to solve his missing person's case. When a disturbing piece of evidence is revealed, she comes to believe he might still be alive.",two decades brother mysteriously disappeared vancouver island documentary filmmaker sets solve missing person case disturbing piece evidence revealed comes believe might still alive
Horizon: An American Saga - Chapter 1,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west.",chronicles multi faceted year span pre post civil war expansion settlement american west
Madame Web,"Forced to confront her past, Cassandra Webb, a Manhattan paramedic that may have clairvoyant abilities, forms a relationship with three young women destined for powerful futures, if they can survive their threatening present.",forced confront past cassandra webb manhattan paramedic may clairvoyant abilities forms relationship three young women destined powerful futures survive threatening present
I Saw the TV Glow,A teenager just trying to make it through life in the suburbs is introduced by a classmate to a mysterious late-night TV show.,teenager trying make life suburbs introduced classmate mysterious late night tv show
Argylle,A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes that the plot of the new book she's writing starts to mirror real-world events in real time.,reclusive author writes espionage novels secret agent global spy syndicate realizes plot new book writing starts mirror real world events real time
Godzilla x Kong: The New Empire,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries.",two ancient titans godzilla kong clash epic battle humans unravel intertwined origins connection skull island mysteries
A Quiet Place: Day One,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.,young woman named sam finds trapped new york city early stages invasion alien creatures ultra sensitive hearing
Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever.",untold origin story optimus prime megatron better known sworn enemies friends bonded like brothers changed fate cybertron forever
The Apprentice,"A young man took over his father's real-estate business in 1970s and '80s New York, and got the helping hand of an infamous closeted gay lawyer who helped him turn this young man into a notorious legend. Based on true events.",young man took father real estate business new york got helping hand infamous closeted gay lawyer helped turn young man notorious legend based true events
Megalopolis,"The city of New Rome faces the duel between Cesar Catilina, a brilliant artist in favor of a Utopian future, and the greedy mayor Franklyn Cicero. Between them is Julia Cicero, with her loyalty divided between her father and her beloved.",city new rome faces duel cesar catilina brilliant artist favor utopian future greedy mayor franklyn cicero julia cicero loyalty divided father beloved
Cellar Door,"Looking for a fresh start after a miscarriage, a couple find themselves being gifted the house of their dreams with one caveat - they can never open the cellar door. Whether they can live without knowing triggers shocking consequences.",looking fresh start miscarriage couple find gifted house dreams one caveat never open cellar door whether live without knowing triggers shocking consequences
A Real Pain,"Mismatched cousins reunite for a tour through Poland to honor their beloved grandmother, but their old tensions resurface against the backdrop of their family history.",mismatched cousins reunite tour poland honor beloved grandmother old tensions resurface backdrop family history
Venom: The Last Dance,Eddie Brock and Venom must make a devastating decision as they're pursued by a mysterious military man and alien monsters from Venom's home world.,eddie brock venom must make devastating decision pursued mysterious military man alien monsters venom home world
Kung Fu Panda 4,"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm.",po tapped become spiritual leader valley peace needs find train new dragon warrior wicked sorceress plans summon master villains po vanquished spirit realm
It's What's Inside,"A group of friends gather for a pre-wedding party that descends into an existential nightmare when an estranged friend arrives with a mysterious game that awakens long-hidden secrets, desires and grudges.",group friends gather pre wedding party descends existential nightmare estranged friend arrives mysterious game awakens long hidden secrets desires grudges
Snack Shack,"Nebraska City, 1991, two best friends get the chance to run the swimming pool snack shack, that later comes to be the perfect scenario for transgression, fun, personal discovery and romance.",nebraska city two best friends get chance run swimming pool snack shack later comes perfect scenario transgression fun personal discovery romance
Strange Harvest,"Detectives are thrust into a chilling hunt for ""Mr. Shiny""-a sadistic serial killer from the past whose return marks the beginning of a new wave of grotesque, otherworldly crimes tied to a dark cosmic force.",detectives thrust chilling hunt mr shiny sadistic serial killer past whose return marks beginning new wave grotesque otherworldly crimes tied dark cosmic force
Terrifier 3,Art the Clown is set to unleash chaos on the unsuspecting residents of Miles County as they peacefully drift off to sleep on Christmas Eve.,art clown set unleash chaos unsuspecting residents miles county peacefully drift sleep christmas eve
Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana must journey to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",receiving unexpected call wayfinding ancestors moana must journey far seas oceania dangerous long lost waters adventure unlike anything ever faced
Oddity,A psychic medium attempts to uncover the truth behind her sister's murder at the site of the crime.,psychic medium attempts uncover truth behind sister murder site crime
Elevation,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,single father two women venture safety homes face monstrous creatures save life young boy
Thelma,"When 93-year-old Thelma Post gets duped by a phone scammer pretending to be her grandson, she sets out on a treacherous quest across the city to reclaim what was taken from her.",year old thelma post gets duped phone scammer pretending grandson sets treacherous quest across city reclaim taken
Mufasa: The Lion King,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",mufasa cub lost alone meets sympathetic lion named taka heir royal bloodline chance meeting sets motion expansive journey group misfits searching destiny
The Instigators,Follows two robbers who must go on the run with the help of one of their therapists after a theft doesn't go as planned.,follows two robbers must go run help one therapists theft go planned
Land of Bad,A Delta Force team fights for survival as an Air Force drone pilot becomes its eyes in the sky.,delta force team fights survival air force drone pilot becomes eyes sky
September 5,"During the 1972 Summer Olympics in Munich, Germany, an American sports broadcasting team must adapt to live coverage of the Israeli athletes being held hostage by a terrorist group.",summer olympics munich germany american sports broadcasting team must adapt live coverage israeli athletes held hostage terrorist group
Love Lies Bleeding,"Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou's criminal family.",reclusive gym manager lou falls hard jackie ambitious bodybuilder headed town vegas pursuit dream love ignites violence pulling deep web lou criminal family
Horizon: An American Saga - Chapter 2,The continuation of one story of the settlement of the American west. It follows the further adventures of characters first featured in Horizon: An American Saga.,continuation one story settlement american west follows adventures characters first featured horizon american saga
Reunion,"Snowbound at their high school reunion, former classmates uncover a murder and scramble to identify the killer among them before they're all iced out for good.",snowbound high school reunion former classmates uncover murder scramble identify killer among iced good
Tarot,"When a group of friends recklessly violates the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death.",group friends recklessly violates sacred rule tarot readings unknowingly unleash unspeakable evil trapped within cursed cards one one come face face fate end race death
Here,"A generational story about families and the special place they inhabit, sharing in love, loss, laughter, and life.",generational story families special place inhabit sharing love loss laughter life
Minor Leaguer,"A minor league hockey player struggles with the massive ego of his team's new owner, a hockey legend who was once his childhood hero.",minor league hockey player struggles massive ego team new owner hockey legend childhood hero
Queer,"In 1950s Mexico City, an American immigrant in his late forties leads a solitary life amidst a small American community. However, the arrival of a young student stirs the man into finally establishing a meaningful connection with someone.",mexico city american immigrant late forties leads solitary life amidst small american community however arrival young student stirs man finally establishing meaningful connection someone
The Lord of the Rings: The War of the Rohirrim,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg.",sudden attack wulf clever traitorous lord rohan seeking vengeance death father forces helm hammerhand king rohan people make daring last stand ancient stronghold hornburg
Salem's Lot,"An author returns to his hometown of Jerusalem's Lot in search of inspiration for his next book, only to discover that the townspeople are being attacked by a bloodthirsty vampire.",author returns hometown jerusalem lot search inspiration next book discover townspeople attacked bloodthirsty vampire
Maharaja,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds.",barber seeks vengeance home burglarized cryptically telling police lakshmi taken leaving uncertain person object quest recover elusive lakshmi unfolds
Spaceman,"Half a year into his solo mission on the edge of the solar system, an astronaut concerned with the state of his life back on Earth is helped by an ancient creature he discovers in the bowels of his ship.",half year solo mission edge solar system astronaut concerned state life back earth helped ancient creature discovers bowels ship
Mahavatar Narsimha,The demon Hiranyakashyap seeks revenge on Vishnu and declares himself a god. His son Prahlad remains devoted to Vishnu. Vishnu manifests as Narsimha to defeat the demon and restore balance.,demon hiranyakashyap seeks revenge vishnu declares god son prahlad remains devoted vishnu vishnu manifests narsimha defeat demon restore balance
A Different Man,"An aspiring actor undergoes a radical medical procedure to drastically transform his appearance, but his new dream face quickly turns into a nightmare.",aspiring actor undergoes radical medical procedure drastically transform appearance new dream face quickly turns nightmare
Attack on Titan the Movie: The Last Attack,"The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army of Colossal Titans towards Marley.",fate world hangs balance eren unleashes ultimate power titans burning determination eliminate threaten eldia leads unstoppable army colossal titans towards marley
Parthenope,"A woman born in the sea of Naples in 1950 searches for happiness over the long summers of her youth, falling in love with her home city and its many memorable characters.",woman born sea naples searches happiness long summers youth falling love home city many memorable characters
Scoop,"An insider account of how BBC Newsnight obtained the bombshell interview with Prince Andrew about his friendship with convicted sex offender, Jeffrey Epstein.",insider account bbc newsnight obtained bombshell interview prince andrew friendship convicted sex offender jeffrey epstein
Fight or Flight,A mercenary takes on the job of tracking down a target on a plane but must protect that target when they're surrounded by people trying to kill both of them.,mercenary takes job tracking target plane must protect target surrounded people trying kill
Rats!,"In Fresno, Texas, graffiti artist Raphael's arrest leads to his involvement in a chain of events involving a sting operation, suicide, drug deals, criminal suspicions, weapons, a newswoman, and a plutonium deal gone wrong, creating chaos.",fresno texas graffiti artist raphael arrest leads involvement chain events involving sting operation suicide drug deals criminal suspicions weapons newswoman plutonium deal gone wrong creating chaos
No Other Land,This film made by a Palestinian-Israeli collective shows the destruction of the occupied West Bank's Masafer Yatta by Israeli soldiers and the alliance which develops between the Palestinian activist Basel and Israeli journalist Yuval.,film made palestinian israeli collective shows destruction occupied west bank masafer yatta israeli soldiers alliance develops palestinian activist basel israeli journalist yuval
The Garfield Movie,"After Garfield's unexpected reunion with his long-lost father, ragged alley cat Vic, he and his canine friend Odie are forced from their perfectly pampered lives to join Vic on a risky heist.",garfield unexpected reunion long lost father ragged alley cat vic canine friend odie forced perfectly pampered lives join vic risky heist
Better Man,"A singular profile of pop superstar Robbie Williams, chronicling his meteoric rise, dramatic fall, and remarkable resurgence.",singular profile pop superstar robbie williams chronicling meteoric rise dramatic fall remarkable resurgence
Mean Girls,"Cady Heron is a hit with the Plastics, an A-list girl clique at her new school. But everything changes when she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",cady heron hit plastics list girl clique new school everything changes makes mistake falling aaron samuels ex boyfriend alpha plastic regina george
The Friend,"When a solitary writer adopts and bonds with a Great Dane that belonged to a late friend, she begins to come to terms with her past and her own creative inner life.",solitary writer adopts bonds great dane belonged late friend begins come terms past creative inner life
Saturday Night,"At 11:30pm on October 11th, 1975, a ferocious troupe of young comedians and writers changed television forever. Find out what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live (1975).",pm october th ferocious troupe young comedians writers changed television forever find happened behind scenes minutes leading first broadcast saturday night live
